TF	target	importance	cc	TF_type	target_type	targetN
D-Glucose-1-phosphate	Solyc01g008620.4	36.68839090494947	1	energy	gene	19
D-Glucose-1-phosphate	D-Glucose-6-phosphate	63.99324958435332	1	energy	energy	19
D-Glucose-1-phosphate	novel.4628	48.98392606158841	1	energy	gene	19
L-Arginine	Solyc03g034400.3	39.39646295395546	1	energy	gene	19
L-Arginine	Beta-Leucine	52.34414835185154	1	energy	energy	19
D-Glucose-1-phosphate	Solyc12g011290.2	38.95587694610271	1	energy	gene	19
D-Glucose-1-phosphate	D-Erythrose-4-phosphate	47.75122659197429	1	energy	energy	19
L-Arginine	Solyc04g078195.1	37.65974676584415	1	energy	gene	19
D-Glucose-1-phosphate	Solyc07g042380.4	35.86846622475171	1	energy	gene	19
L-Arginine	L-Asparagine	59.35304203915821	1	energy	energy	19
D-Glucose-1-phosphate	novel.4588	35.263719058202845	1	energy	gene	19
D-Glucose-1-phosphate	Solyc02g062170.3	42.867291064957946	1	energy	gene	19
L-Arginine	Solyc11g044450.3	37.972502197991886	1	energy	gene	19
L-Arginine	Solyc03g112010.4	45.350577670153655	1	energy	gene	19
L-Arginine	Solyc05g052240.3	46.51019940010082	1	energy	gene	19
L-Arginine	L-Tyrosine	36.75217100337097	1	energy	energy	19
D-Glucose-1-phosphate	Solyc06g073610.3	37.97210347870101	1	energy	gene	19
L-Arginine	Solyc10g083940.1	37.95605262924009	1	energy	gene	19
L-Arginine	Solyc04g079210.3	36.79275788404084	1	energy	gene	19
L-Arginine	Solyc05g010320.4	40.72637314209783	1	energy	gene	19
L-Arginine	Solyc09g011140.4	39.04085561973396	1	energy	gene	19
D-Glucose-1-phosphate	Solyc02g079590.3	36.33262834954846	1	energy	gene	19
D-Glucose-1-phosphate	Solyc06g074850.3	37.71635200879225	1	energy	gene	19
D-Glucose-1-phosphate	Solyc09g007340.4	35.68534318037622	1	energy	gene	19
L-Arginine	Solyc10g086240.2	43.31062151876221	1	energy	gene	19
L-Arginine	Solyc03g005910.3	53.43499302591973	1	energy	gene	19
D-Glucose-1-phosphate	Solyc09g060110.4	36.15710329288315	1	energy	gene	19
L-Arginine	Solyc04g006950.4	39.28236369010341	1	energy	gene	19
D-Glucose-1-phosphate	Solyc02g068400.3	35.503760220523816	1	energy	gene	19
Beta-Leucine	L-Tyrosine	54.28138307648575	1	energy	energy	21
Beta-Leucine	Solyc08g005800.4	45.73343493465539	1	energy	gene	21
Beta-Leucine	Solyc03g019890.3	36.0504444521992	1	energy	gene	21
Beta-Leucine	Solyc07g008250.3	36.09057431411746	1	energy	gene	21
Beta-Leucine	Solyc11g068430.3	37.70318641498451	1	energy	gene	21
Beta-Leucine	Solyc02g071810.4	37.04611560577872	1	energy	gene	21
Beta-Leucine	Solyc01g087850.2	38.52203674203657	1	energy	gene	21
Beta-Leucine	Succinic-acid	36.167686823730826	1	energy	energy	21
Beta-Leucine	Solyc01g104950.4	44.32600868710182	1	energy	gene	21
Beta-Leucine	Solyc11g066020.2	43.27520993405256	1	energy	gene	21
Beta-Leucine	novel.6704	35.97713071037022	1	energy	gene	21
Beta-Leucine	Phosphorylethanolamine	59.685567052511374	1	energy	energy	21
Beta-Leucine	Lysine	37.91496220689889	1	energy	energy	21
Beta-Leucine	Solyc01g099630.4	37.95416300272807	1	energy	gene	21
Beta-Leucine	Solyc07g056650.4	48.26493111511289	1	energy	gene	21
Beta-Leucine	Solyc05g050120.3	49.792105619478725	1	energy	gene	21
Beta-Leucine	Solyc04g015560.4	37.23325191650133	1	energy	gene	21
Beta-Leucine	Solyc09g048980.4	38.49439672349653	1	energy	gene	21
Beta-Leucine	Solyc06g083220.3	38.758349483423366	1	energy	gene	21
Beta-Leucine	Solyc08g080470.3	42.23788717602168	1	energy	gene	21
Beta-Leucine	L-Arginine	40.56794697930994	1	energy	energy	21
Fru	Solyc10g083760.3	35.56733449535724	1	sugar	gene	25
Fru	Solyc08g150139.1	38.89093051931377	1	sugar	gene	25
Fru	Solyc06g083500.4	39.40969401575841	1	sugar	gene	25
Fru	Solyc05g048810.4	38.58631495402715	1	sugar	gene	25
Fru	Solyc10g080340.3	35.33685715773853	1	sugar	gene	25
Fru	Solyc05g041420.4	45.163044113945496	1	sugar	gene	25
Fru	Solyc03g121420.4	39.03747003922432	1	sugar	gene	25
Fru	Solyc08g005450.3	38.56802189007687	1	sugar	gene	25
Fru	Solyc10g007930.4	36.71862105849963	1	sugar	gene	25
Fru	novel.2806	40.15931412360042	1	sugar	gene	25
Fru	Glu	53.02568258949497	1	sugar	sugar	25
Fru	Solyc08g068190.3	46.999022087486935	1	sugar	gene	25
Fru	Solyc01g097630.3	43.19072448759644	1	sugar	gene	25
Fru	Solyc03g006030.4	45.08063512300974	1	sugar	gene	25
Fru	novel.5546	45.05182209134968	1	sugar	gene	25
Fru	Solyc08g066960.3	43.46606736826895	1	sugar	gene	25
Fru	Solyc09g009970.3	37.30338825340684	1	sugar	gene	25
Fru	novel.1819	44.935022999990814	1	sugar	gene	25
Fru	Solyc03g013340.3	41.25411845202017	1	sugar	gene	25
Fru	Solyc03g006100.4	44.44202492233439	1	sugar	gene	25
Fru	novel.3734	35.73139472042518	1	sugar	gene	25
Fru	Solyc09g063070.3	51.88490228086671	1	sugar	gene	25
Fru	Solyc03g096220.3	35.827191929911024	1	sugar	gene	25
Fru	Phosphoenolpyruvic-acid	37.79180217445004	1	sugar	energy	25
Fru	novel.641	36.84220797936417	1	sugar	gene	25
L-Glutamate	Solyc02g077840.2	42.48071068315156	1	energy	TF	32
L-Glutamate	Solyc02g070800.2	39.59265435588792	1	energy	gene	32
L-Glutamate	Solyc06g053950.3	41.92392835826384	1	energy	gene	32
L-Glutamate	Solyc03g111260.3	35.63245581536221	1	energy	TF	32
L-Glutamate	Solyc01g098740.4	35.89467218459378	1	energy	gene	32
L-Glutamate	Solyc07g041720.1	42.65184398873312	1	energy	gene	32
L-Glutamate	Solyc09g009810.1	50.29901409062552	1	energy	gene	32
L-Glutamate	Solyc05g005170.4	41.324196771179125	1	energy	gene	32
L-Glutamate	novel.4607	35.06219763467179	1	energy	gene	32
L-Glutamate	Solyc06g052050.4	45.79681362145872	1	energy	gene	32
L-Glutamate	Solyc09g063010.4	35.26303790419763	1	energy	TF	32
L-Glutamate	Solyc04g071990.3	41.11982474392835	1	energy	gene	32
L-Glutamate	Solyc01g079470.4	58.714650129070286	1	energy	gene	32
L-Glutamate	Solyc09g065840.3	41.18280282384614	1	energy	gene	32
L-Glutamate	Solyc01g066570.3	37.1640376929957	1	energy	gene	32
L-Glutamate	Solyc03g031990.4	37.20658457136887	1	energy	gene	32
L-Glutamate	Solyc03g078650.4	35.50056163909846	1	energy	gene	32
L-Glutamate	Solyc01g091370.4	50.89829378175397	1	energy	gene	32
L-Glutamate	novel.5131	39.19211409671833	1	energy	gene	32
L-Glutamate	Solyc02g093590.3	41.6598073083402	1	energy	TR	32
L-Glutamate	Solyc06g051680.1	55.43746031363874	1	energy	gene	32
L-Glutamate	Solyc03g116460.4	46.16350804894932	1	energy	gene	32
L-Glutamate	Solyc02g090390.4	37.605479915621785	1	energy	gene	32
L-Glutamate	Solyc04g076845.1	48.258635629984624	1	energy	TF	32
L-Glutamate	Solyc10g086380.1	36.78055799952856	1	energy	TF	32
L-Glutamate	Solyc12g008460.2	56.14534028033255	1	energy	gene	32
L-Glutamate	Solyc11g018660.2	49.34528328954264	1	energy	TF	32
L-Glutamate	Solyc03g043860.2	40.79283145878191	1	energy	gene	32
L-Glutamate	Solyc10g049420.2	57.52160790907609	1	energy	gene	32
L-Glutamate	Solyc04g063210.3	53.35515930664242	1	energy	gene	32
L-Glutamate	Solyc10g078250.1	35.759839637472695	1	energy	gene	32
L-Glutamate	Solyc06g005680.4	39.26735365766784	1	energy	TF	32
L-Asparagine	Solyc08g076220.3	35.884038052929974	1	energy	gene	44
L-Asparagine	Solyc07g005390.3	47.45097610831932	1	energy	gene	44
L-Asparagine	Solyc06g060340.3	47.44773785075992	1	energy	gene	44
L-Asparagine	Solyc01g100900.4	35.97089208934185	1	energy	gene	44
L-Asparagine	Solyc08g068390.3	47.713787426632685	1	energy	gene	44
L-Asparagine	Solyc09g074450.1	38.48213999063829	1	energy	gene	44
L-Asparagine	Solyc07g056140.3	36.472187002236126	1	energy	gene	44
L-Asparagine	Solyc05g052240.3	35.70883031331431	1	energy	gene	44
L-Asparagine	Solyc01g080280.3	38.27011404599829	1	energy	gene	44
L-Asparagine	Solyc01g091320.3	35.82229467027392	1	energy	gene	44
L-Asparagine	Solyc05g010320.4	39.485813074918966	1	energy	gene	44
L-Asparagine	Solyc05g055850.3	50.31114148616474	1	energy	gene	44
L-Asparagine	Solyc05g005950.3	39.49666859361456	1	energy	gene	44
L-Asparagine	Solyc10g008120.4	38.44371600159646	1	energy	gene	44
L-Asparagine	Solyc05g053400.3	36.42019405801396	1	energy	gene	44
L-Asparagine	Solyc08g076290.3	46.50844889357272	1	energy	gene	44
L-Asparagine	Solyc12g009930.3	38.419521771685794	1	energy	gene	44
L-Asparagine	Solyc12g009580.2	36.59833453083033	1	energy	TF	44
L-Asparagine	Solyc01g005520.4	37.52942153228688	1	energy	gene	44
L-Asparagine	Solyc07g061790.3	41.87178648172871	1	energy	gene	44
L-Asparagine	Solyc03g005910.3	38.05363800747946	1	energy	gene	44
L-Asparagine	Solyc02g090510.3	35.06028298949873	1	energy	gene	44
L-Asparagine	Solyc09g009010.4	40.47682170142094	1	energy	gene	44
L-Asparagine	Solyc06g059800.3	35.06332090752392	1	energy	gene	44
L-Asparagine	Solyc05g011890.1	41.14668925596972	1	energy	gene	44
L-Asparagine	Solyc04g078195.1	42.96274925287808	1	energy	gene	44
L-Asparagine	Solyc03g007030.3	41.84811718900935	1	energy	gene	44
L-Asparagine	Solyc07g051820.3	40.50385327269049	1	energy	gene	44
L-Asparagine	Solyc03g096980.1	38.879625435899264	1	energy	gene	44
L-Asparagine	L-Arginine	55.07257750093449	1	energy	energy	44
L-Asparagine	Solyc08g065220.3	39.1008111629651	1	energy	gene	44
L-Asparagine	Solyc07g062520.3	37.32189971539346	1	energy	gene	44
L-Asparagine	Solyc03g034400.3	40.975672135380506	1	energy	gene	44
L-Asparagine	Solyc01g112060.4	42.81620515651182	1	energy	gene	44
L-Asparagine	Solyc05g049990.4	35.25311166068767	1	energy	gene	44
L-Asparagine	Solyc03g112760.3	37.14045183797743	1	energy	gene	44
L-Asparagine	Solyc07g042440.3	35.1275648981322	1	energy	gene	44
L-Asparagine	Solyc01g094890.4	37.53440231682436	1	energy	gene	44
L-Asparagine	Solyc03g095940.1	45.88093862668154	1	energy	TF	44
L-Asparagine	Solyc10g086240.2	38.159430326140544	1	energy	gene	44
L-Asparagine	Solyc10g012430.3	36.65434848396012	1	energy	gene	44
L-Asparagine	Solyc01g090340.3	37.69447652135736	1	energy	TF	44
L-Asparagine	Solyc01g111630.3	35.00925464011176	1	energy	gene	44
L-Asparagine	Ornithine	45.24962201832994	1	energy	energy	44
L-Alanine	Solyc06g068830.2	42.91465955276489	1	energy	TF	50
Gal	Solyc11g042610.2	42.42545809410672	1	sugar	gene	50
Gal	Solyc04g016190.1	37.36465330466255	1	sugar	gene	50
Gal	Solyc06g066820.4	41.001768537290005	1	sugar	gene	50
Gal	Solyc02g070430.3	35.912689418709455	1	sugar	gene	50
Gal	Solyc05g013920.4	38.34286036843514	1	sugar	gene	50
Gal	Solyc01g091830.3	35.90722865751309	1	sugar	gene	50
Gal	Solyc02g091700.3	81.75701061477069	1	sugar	gene	50
L-Alanine	Solyc10g086380.1	42.50432986173855	1	energy	TF	50
Gal	Solyc04g071770.3	40.99338098984144	1	sugar	TF	50
L-Alanine	Solyc12g011100.2	39.58283204784681	1	energy	gene	50
L-Alanine	Solyc01g108170.3	47.24328528140287	1	energy	gene	50
Gal	Solyc02g064990.3	47.34311138717022	1	sugar	gene	50
L-Alanine	Solyc03g080020.4	37.31878406195409	1	energy	gene	50
L-Alanine	Solyc06g071180.3	35.89096892819757	1	energy	gene	50
L-Alanine	Solyc09g092720.3	37.69665960523232	1	energy	gene	50
L-Alanine	Solyc04g071760.3	38.65956761849339	1	energy	gene	50
Gal	Solyc08g078840.3	58.84409072288153	1	sugar	gene	50
L-Alanine	Solyc02g070880.1	35.260121546026724	1	energy	TF	50
Gal	novel.6101	84.87648153514714	1	sugar	gene	50
L-Alanine	Solyc10g018340.1	36.33168183596786	1	energy	gene	50
L-Alanine	novel.1921	39.79101741654573	1	energy	gene	50
Gal	Solyc06g068250.1	47.34931360143197	1	sugar	gene	50
Gal	Solyc03g112330.3	47.3686907542327	1	sugar	gene	50
Gal	novel.3538	67.45603531134684	1	sugar	gene	50
Gal	Solyc06g071610.3	41.76125764476206	1	sugar	gene	50
Gal	Solyc06g076350.3	38.81244973637594	1	sugar	TF	50
Gal	Solyc05g054560.3	47.912533861888015	1	sugar	gene	50
L-Alanine	Solyc09g090980.3	36.133192820596	1	energy	gene	50
Gal	Solyc07g051950.3	67.09150392699411	1	sugar	gene	50
Gal	Solyc02g086880.4	49.22086595189414	1	sugar	gene	50
Gal	Solyc10g045100.2	69.11743926837845	1	sugar	gene	50
L-Alanine	Solyc06g060230.3	41.53071754360693	1	energy	TF	50
