"","group","Description","pvalue","ratio"
"GO:0006357","C1","regulation of transcription by RNA polymerase II",0.494747346573514,"1/44"
"GO:0009607","C1","response to biotic stimulus",0.494747346573514,"1/44"
"GO:0001101","C1","response to acid chemical",0.499487456754914,"1/44"
"GO:1901607","C1","alpha-amino acid biosynthetic process",0.499487456754914,"1/44"
"GO:0032501","C1","multicellular organismal process",0.503060489184182,"2/44"
"GO:0016051","C1","carbohydrate biosynthetic process",0.508837660453493,"1/44"
"GO:0006796","C1","phosphate-containing compound metabolic process",0.511912782430672,"3/44"
"GO:0034470","C1","ncRNA processing",0.513448529440062,"1/44"
"GO:0006793","C1","phosphorus metabolic process",0.52127543222253,"3/44"
"GO:0042254","C1","ribosome biogenesis",0.531472676089184,"1/44"
"GO:0051276","C1","chromosome organization",0.540238381297497,"1/44"
"GO:0032502","C1","developmental process",0.540807186126223,"2/44"
"GO:0048608","C1","reproductive structure development",0.544560926430598,"1/44"
"GO:0061458","C1","reproductive system development",0.544560926430598,"1/44"
"GO:0003006","C1","developmental process involved in reproduction",0.553087200806665,"1/44"
"GO:0016053","C1","organic acid biosynthetic process",0.557578299276197,"2/44"
"GO:0046394","C1","carboxylic acid biosynthetic process",0.557578299276197,"2/44"
"GO:0009791","C1","post-embryonic development",0.561457416066532,"1/44"
"GO:0008610","C1","lipid biosynthetic process",0.56580644723981,"2/44"
"GO:0006281","C1","DNA repair",0.573726220425164,"1/44"
"GO:0006366","C1","transcription by RNA polymerase II",0.573726220425164,"1/44"
"GO:0007049","C1","cell cycle",0.577740785130064,"1/44"
"GO:0006974","C1","cellular response to DNA damage stimulus",0.581718392805996,"1/44"
"GO:0072330","C1","monocarboxylic acid biosynthetic process",0.593432782849986,"1/44"
"GO:0006950","C1","response to stress",0.61741368972575,"4/44"
"GO:1901700","C1","response to oxygen-containing compound",0.626685149296994,"1/44"
"GO:0022613","C1","ribonucleoprotein complex biogenesis",0.633705338259761,"1/44"
"GO:0042221","C1","response to chemical",0.639840344314403,"2/44"
"GO:0034660","C1","ncRNA metabolic process",0.640596457614447,"1/44"
"GO:0044262","C1","cellular carbohydrate metabolic process",0.640596457614447,"1/44"
"GO:0048731","C1","system development",0.65069619239381,"1/44"
"GO:0015979","C1","photosynthesis",0.66373206484334,"1/44"
"GO:1901605","C1","alpha-amino acid metabolic process",0.670070485161988,"1/44"
"GO:0048519","C1","negative regulation of biological process",0.676292095835287,"1/44"
"GO:0034622","C1","cellular protein-containing complex assembly",0.691348793690387,"1/44"
"GO:0000003","C1","reproduction",0.705720345682001,"1/44"
"GO:0022414","C1","reproductive process",0.705720345682001,"1/44"
"GO:0044085","C1","cellular component biogenesis",0.715981888562887,"2/44"
"GO:0044283","C1","small molecule biosynthetic process",0.725719971698712,"2/44"
"GO:0065003","C1","protein-containing complex assembly",0.729959030513445,"1/44"
"GO:0033554","C1","cellular response to stress",0.735074317899299,"1/44"
"GO:0006811","C1","ion transport",0.742570156592188,"1/44"
"GO:0043933","C1","protein-containing complex subunit organization",0.76608961390523,"1/44"
"GO:0006259","C1","DNA metabolic process",0.77917902957154,"1/44"
"GO:0005975","C1","carbohydrate metabolic process",0.79964628558829,"3/44"
"GO:0022607","C1","cellular component assembly",0.816080443800663,"1/44"
"GO:0071702","C1","organic substance transport",0.818463814333701,"2/44"
"GO:0006396","C1","RNA processing",0.845442723681199,"1/44"
"GO:0044255","C1","cellular lipid metabolic process",0.882242540513235,"1/44"
"GO:1901135","C1","carbohydrate derivative metabolic process",0.906851738914299,"1/44"
"GO:0006996","C1","organelle organization",0.920384736056128,"1/44"
"GO:0043604","C1","amide biosynthetic process",0.962894192638909,"1/44"
"GO:0043603","C1","cellular amide metabolic process",0.975423251485356,"1/44"
"GO:0009648","C2","photoperiodism",0.0371896135766063,"1/18"
"GO:0010167","C2","response to nitrate",0.0371896135766063,"1/18"
"GO:0048573","C2","photoperiodism, flowering",0.0371896135766063,"1/18"
"GO:0071241","C2","cellular response to inorganic substance",0.0371896135766063,"1/18"
"GO:0006302","C2","double-strand break repair",0.040835855309327,"1/18"
"GO:0042168","C2","heme metabolic process",0.040835855309327,"1/18"
"GO:0042451","C2","purine nucleoside biosynthetic process",0.040835855309327,"1/18"
"GO:0046129","C2","purine ribonucleoside biosynthetic process",0.040835855309327,"1/18"
"GO:0006790","C2","sulfur compound metabolic process",0.0444042619424597,"2/18"
"GO:00454541","C2","cell redox homeostasis",0.0471168283601278,"2/18"
"GO:0010228","C2","vegetative to reproductive phase transition of meristem",0.0480892500590695,"1/18"
"GO:0042026","C2","protein refolding",0.0480892500590695,"1/18"
"GO:0006534","C2","cysteine metabolic process",0.0516964907956877,"1/18"
"GO:1901698","C2","response to nitrogen compound",0.0516964907956877,"1/18"
"GO:0046128","C2","purine ribonucleoside metabolic process",0.0588722772534346,"1/18"
"GO:0009163","C2","nucleoside biosynthetic process",0.0624409098654922,"1/18"
"GO:0042278","C2","purine nucleoside metabolic process",0.0624409098654922,"1/18"
"GO:0042455","C2","ribonucleoside biosynthetic process",0.0624409098654922,"1/18"
"GO:1901659","C2","glycosyl compound biosynthetic process",0.0659967597648643,"1/18"
"GO:0006595","C2","polyamine metabolic process",0.076588043535138,"1/18"
"GO:0006596","C2","polyamine biosynthetic process",0.076588043535138,"1/18"
"GO:00197251","C2","cellular homeostasis",0.0773348105788755,"2/18"
"GO:0009119","C2","ribonucleoside metabolic process",0.0800931922522129,"1/18"
"GO:0000096","C2","sulfur amino acid metabolic process",0.0835857724124024,"1/18"
"GO:0006779","C2","porphyrin-containing compound biosynthetic process",0.0835857724124024,"1/18"
"GO:2000241","C2","regulation of reproductive process",0.0835857724124024,"1/18"
"GO:0009309","C2","amine biosynthetic process",0.0905333966298759,"1/18"
"GO:0042401","C2","cellular biogenic amine biosynthetic process",0.0905333966298759,"1/18"
"GO:0097164","C2","ammonium ion metabolic process",0.0905333966298759,"1/18"
"GO:0048580","C2","regulation of post-embryonic development",0.0939885251357143,"1/18"
"GO:0006310","C2","DNA recombination",0.0974312539825704,"1/18"
"GO:0033014","C2","tetrapyrrole biosynthetic process",0.0974312539825704,"1/18"
"GO:0006576","C2","cellular biogenic amine metabolic process",0.104279680129589,"1/18"
"GO:0006778","C2","porphyrin-containing compound metabolic process",0.104279680129589,"1/18"
"GO:0044106","C2","cellular amine metabolic process",0.104279680129589,"1/18"
"GO:00425921","C2","homeostatic process",0.108540212746953,"2/18"
"GO:0009069","C2","serine family amino acid metabolic process",0.111079008606737,"1/18"
"GO:0009116","C2","nucleoside metabolic process",0.114460364871547,"1/18"
"GO:0033013","C2","tetrapyrrole metabolic process",0.117829570839062,"1/18"
"GO:1901657","C2","glycosyl compound metabolic process",0.121186667609653,"1/18"
"GO:2000026","C2","regulation of multicellular organismal development",0.127864697310101,"1/18"
"GO:00712291","C2","cellular response to acid chemical",0.13118571179041,"1/18"
"GO:0051239","C2","regulation of multicellular organismal process",0.137791942917654,"1/18"
"GO:0046148","C2","pigment biosynthetic process",0.141077240340915,"1/18"
"GO:0044272","C2","sulfur compound biosynthetic process",0.144350712641118,"1/18"
"GO:0034404","C2","nucleobase-containing small molecule biosynthetic process",0.147612399886451,"1/18"
"GO:0050793","C2","regulation of developmental process",0.154100578849077,"1/18"
"GO:0042440","C2","pigment metabolic process",0.160542095234892,"1/18"
"GO:0045944","C2","positive regulation of transcription by RNA polymerase II",0.163745453786042,"1/18"
"GO:0009308","C2","amine metabolic process",0.170117568155087,"1/18"
"GO:19017011","C2","cellular response to oxygen-containing compound",0.188959895046454,"1/18"
"GO:00064681","C2","protein phosphorylation",0.192060728073039,"1/18"
"GO:0010035","C2","response to inorganic substance",0.192060728073039,"1/18"
"GO:00517161","C2","cellular response to stimulus",0.21590237616621,"3/18"
"GO:0048583","C2","regulation of response to stimulus",0.22245935051069,"1/18"
"GO:0072522","C2","purine-containing compound biosynthetic process",0.228407998030879,"1/18"
"GO:00650081","C2","regulation of biological quality",0.238938533583852,"2/18"
"GO:0009416","C2","response to light stimulus",0.240176583949328,"1/18"
"GO:00063571","C2","regulation of transcription by RNA polymerase II",0.243092128926713,"1/18"
"GO:00011011","C2","response to acid chemical",0.245997105830619,"1/18"
"GO:0009314","C2","response to radiation",0.245997105830619,"1/18"
"GO:0045893","C2","positive regulation of transcription, DNA-templated",0.251775499545884,"1/18"
"GO:0051254","C2","positive regulation of RNA metabolic process",0.251775499545884,"1/18"
"GO:1902680","C2","positive regulation of RNA biosynthetic process",0.251775499545884,"1/18"
"GO:1903508","C2","positive regulation of nucleic acid-templated transcription",0.251775499545884,"1/18"
"GO:0045935","C2","positive regulation of nucleobase-containing compound metabolic process",0.257512052199147,"1/18"
"GO:0006457","C2","protein folding",0.26320704905932,"1/18"
"GO:00486081","C2","reproductive structure development",0.274473507366142,"1/18"
"GO:00614581","C2","reproductive system development",0.274473507366142,"1/18"
"GO:0032259","C2","methylation",0.277264590261506,"1/18"
"GO:00030061","C2","developmental process involved in reproduction",0.280045530273326,"1/18"
"GO:0009891","C2","positive regulation of biosynthetic process",0.282816362100369,"1/18"
"GO:0010557","C2","positive regulation of macromolecule biosynthetic process",0.282816362100369,"1/18"
"GO:0031328","C2","positive regulation of cellular biosynthetic process",0.282816362100369,"1/18"
"GO:00097911","C2","post-embryonic development",0.285577120330094,"1/18"
"GO:0010628","C2","positive regulation of gene expression",0.288327839438983,"1/18"
"GO:00163101","C2","phosphorylation",0.291068553792877,"1/18"
"GO:00062811","C2","DNA repair",0.293799297647302,"1/18"
"GO:00063661","C2","transcription by RNA polymerase II",0.293799297647302,"1/18"
"GO:00355561","C2","intracellular signal transduction",0.293799297647302,"1/18"
"GO:00069741","C2","cellular response to DNA damage stimulus",0.299231010330279,"1/18"
"GO:0072521","C2","purine-containing compound metabolic process",0.307304650690601,"1/18"
"GO:0051188","C2","cofactor biosynthetic process",0.312638185094259,"1/18"
"GO:19017001","C2","response to oxygen-containing compound",0.331001732533307,"1/18"
"GO:0051173","C2","positive regulation of nitrogen compound metabolic process",0.338729122575618,"1/18"
"GO:0010604","C2","positive regulation of macromolecule metabolic process",0.346372160474742,"1/18"
"GO:0031325","C2","positive regulation of cellular metabolic process",0.346372160474742,"1/18"
"GO:00487311","C2","system development",0.348901244978494,"1/18"
"GO:00551141","C2","oxidation-reduction process",0.351421085354841,"1/18"
"GO:0009893","C2","positive regulation of metabolic process",0.353931713411531,"1/18"
"GO:0048522","C2","positive regulation of cellular process",0.358925459284118,"1/18"
"GO:19016051","C2","alpha-amino acid metabolic process",0.36388273501126,"1/18"
"GO:00000031","C2","reproduction",0.392874447755682,"1/18"
"GO:00224141","C2","reproductive process",0.392874447755682,"1/18"
"GO:00708871","C2","cellular response to chemical stimulus",0.397583364622854,"1/18"
"GO:00066291","C2","lipid metabolic process",0.398157197240388,"2/18"
"GO:0009628","C2","response to abiotic stimulus",0.409205202167903,"1/18"
"GO:0048518","C2","positive regulation of biological process",0.411504014610829,"1/18"
"GO:00335541","C2","cellular response to stress",0.418349870661579,"1/18"
"GO:00072751","C2","multicellular organism development",0.434032199189745,"1/18"
"GO:00062591","C2","DNA metabolic process",0.459991066521507,"1/18"
"GO:0055086","C2","nucleobase-containing small molecule metabolic process",0.462102767760398,"1/18"
"GO:1901137","C2","carbohydrate derivative biosynthetic process",0.464206668277632,"1/18"
"GO:00488561","C2","anatomical structure development",0.484822558135362,"1/18"
"GO:00063551","C2","regulation of transcription, DNA-templated",0.495468963648892,"2/18"
"GO:19035061","C2","regulation of nucleic acid-templated transcription",0.495468963648892,"2/18"
"GO:20011411","C2","regulation of RNA biosynthetic process",0.495468963648892,"2/18"
"GO:00325011","C2","multicellular organismal process",0.502734195982618,"1/18"
"GO:00512521","C2","regulation of RNA metabolic process",0.504347760572412,"2/18"
"GO:00069521","C2","defense response",0.510504668388809,"1/18"
"GO:00192191","C2","regulation of nucleobase-containing compound metabolic process",0.521839025175161,"2/18"
"GO:00069501","C2","response to stress",0.524308206251429,"2/18"
"GO:00065201","C2","cellular amino acid metabolic process",0.525702874925588,"1/18"
"GO:00325021","C2","developmental process",0.527571003645794,"1/18"
"GO:00105561","C2","regulation of macromolecule biosynthetic process",0.527997908026768,"2/18"
"GO:20001121","C2","regulation of cellular macromolecule biosynthetic process",0.527997908026768,"2/18"
"GO:00098891","C2","regulation of biosynthetic process",0.534109620463812,"2/18"
"GO:00313261","C2","regulation of cellular biosynthetic process",0.534109620463812,"2/18"
"GO:0051186","C2","cofactor metabolic process",0.57546122233686,"1/18"
"GO:00422211","C2","response to chemical",0.593625415364805,"1/18"
"GO:19011351","C2","carbohydrate derivative metabolic process",0.620260274081577,"1/18"
"GO:00442831","C2","small molecule biosynthetic process",0.653680093916694,"1/18"
"GO:00071651","C2","signal transduction",0.664638431956634,"1/18"
"GO:00230521","C2","signaling",0.667326390974758,"1/18"
"GO:00064641","C2","cellular protein modification process",0.675268709025705,"1/18"
"GO:00362111","C2","protein modification process",0.675268709025705,"1/18"
"GO:00067961","C2","phosphate-containing compound metabolic process",0.680463728053965,"1/18"
"GO:0017144","C2","drug metabolic process",0.680463728053965,"1/18"
"GO:00067931","C2","phosphorus metabolic process",0.685580184955225,"1/18"
"GO:0006412","C2","translation",0.708844451543587,"1/18"
"GO:00071541","C2","cell communication",0.708844451543587,"1/18"
"GO:0043043","C2","peptide biosynthetic process",0.71002268892493,"1/18"
"GO:00434121","C2","macromolecule modification",0.724935741372391,"1/18"
"GO:0006518","C2","peptide metabolic process",0.732662795766797,"1/18"
"GO:00436041","C2","amide biosynthetic process",0.739122363921428,"1/18"
"GO:00197521","C2","carboxylic acid metabolic process",0.77115671982407,"1/18"
"GO:00434361","C2","oxoacid metabolic process",0.775813108732482,"1/18"
"GO:00436031","C2","cellular amide metabolic process",0.779473641273965,"1/18"
"GO:00060821","C2","organic acid metabolic process",0.780379913981059,"1/18"
"GO:0006334","C3","nucleosome assembly",6.67205480908518e-05,"5/115"
"GO:0031497","C3","chromatin assembly",6.67205480908518e-05,"5/115"
"GO:0006323","C3","DNA packaging",8.72564146772954e-05,"5/115"
"GO:0034728","C3","nucleosome organization",8.72564146772954e-05,"5/115"
"GO:0006333","C3","chromatin assembly or disassembly",0.000178708179925634,"5/115"
"GO:00650041","C3","protein-DNA complex assembly",0.000329699060587199,"5/115"
"GO:00718241","C3","protein-DNA complex subunit organization",0.000396902111673225,"5/115"
"GO:00436042","C3","amide biosynthetic process",0.000457714434658031,"19/115"
"GO:00064121","C3","translation",0.000468585236365138,"18/115"
"GO:0071103","C3","DNA conformation change",0.000473960310545386,"5/115"
"GO:00430431","C3","peptide biosynthetic process",0.000486912324608693,"18/115"
"GO:00065181","C3","peptide metabolic process",0.00100889112456484,"18/115"
"GO:00436032","C3","cellular amide metabolic process",0.00181014671515834,"19/115"
"GO:00512761","C3","chromosome organization",0.00363861559976282,"7/115"
"GO:00063251","C3","chromatin organization",0.00670167751602869,"5/115"
"GO:0046034","C3","ATP metabolic process",0.00670167751602869,"5/115"
"GO:0009144","C3","purine nucleoside triphosphate metabolic process",0.00926929930050644,"5/115"
"GO:0009205","C3","purine ribonucleoside triphosphate metabolic process",0.00926929930050644,"5/115"
"GO:0007059","C3","chromosome segregation",0.011584832826206,"3/115"
"GO:0009126","C3","purine nucleoside monophosphate metabolic process",0.0115920582258703,"5/115"
"GO:0009167","C3","purine ribonucleoside monophosphate metabolic process",0.0115920582258703,"5/115"
"GO:00066292","C3","lipid metabolic process",0.011703792137213,"16/115"
"GO:0009199","C3","ribonucleoside triphosphate metabolic process",0.0124470255117413,"5/115"
"GO:0006754","C3","ATP biosynthetic process",0.0126473361614443,"4/115"
"GO:0009161","C3","ribonucleoside monophosphate metabolic process",0.0162940314314234,"5/115"
"GO:0009145","C3","purine nucleoside triphosphate biosynthetic process",0.0164206089238735,"4/115"
"GO:0009206","C3","purine ribonucleoside triphosphate biosynthetic process",0.0164206089238735,"4/115"
"GO:00165671","C3","protein ubiquitination",0.0164206089238735,"4/115"
"GO:0009123","C3","nucleoside monophosphate metabolic process",0.0196504857521,"5/115"
"GO:0009141","C3","nucleoside triphosphate metabolic process",0.0196504857521,"5/115"
"GO:0009127","C3","purine nucleoside monophosphate biosynthetic process",0.022451258630737,"4/115"
"GO:0009168","C3","purine ribonucleoside monophosphate biosynthetic process",0.022451258630737,"4/115"
"GO:0009201","C3","ribonucleoside triphosphate biosynthetic process",0.022451258630737,"4/115"
"GO:00725221","C3","purine-containing compound biosynthetic process",0.0234327794263863,"5/115"
"GO:0009142","C3","nucleoside triphosphate biosynthetic process",0.0241437884651889,"4/115"
"GO:00454542","C3","cell redox homeostasis",0.0241467758604921,"6/115"
"GO:00725211","C3","purine-containing compound metabolic process",0.0277188126514923,"6/115"
"GO:00324461","C3","protein modification by small protein conjugation",0.0277558959447227,"4/115"
"GO:0009156","C3","ribonucleoside monophosphate biosynthetic process",0.0316744514296225,"4/115"
"GO:0006662","C3","glycerol ether metabolic process",0.0325684819247834,"2/115"
"GO:0018904","C3","ether metabolic process",0.0325684819247834,"2/115"
