"","group","Description","pvalue","ratio"
"GO:0098656","C1","anion transmembrane transport",0.0517015282974892,"2/88"
"GO:0044264","C1","cellular polysaccharide metabolic process",0.0531251988114359,"4/88"
"GO:0044248","C1","cellular catabolic process",0.0605841571905946,"12/88"
"GO:0009119","C1","ribonucleoside metabolic process",0.0613923433583903,"2/88"
"GO:0045490","C1","pectin catabolic process",0.064150337402298,"3/88"
"GO:0006220","C1","pyrimidine nucleotide metabolic process",0.0664523761150794,"2/88"
"GO:1901606","C1","alpha-amino acid catabolic process",0.0664523761150794,"2/88"
"GO:0034637","C1","cellular carbohydrate biosynthetic process",0.0704825894408468,"3/88"
"GO:0007165","C1","signal transduction",0.0719516434515629,"9/88"
"GO:1901565","C1","organonitrogen compound catabolic process",0.0735887049054164,"7/88"
"GO:0023052","C1","signaling",0.074532221572028,"9/88"
"GO:0009057","C1","macromolecule catabolic process",0.0799089901818999,"8/88"
"GO:0006766","C1","vitamin metabolic process",0.0824105988153145,"2/88"
"GO:0009063","C1","cellular amino acid catabolic process",0.0824105988153145,"2/88"
"GO:0009110","C1","vitamin biosynthetic process",0.0824105988153145,"2/88"
"GO:0015849","C1","organic acid transport",0.0824105988153145,"2/88"
"GO:0046942","C1","carboxylic acid transport",0.0824105988153145,"2/88"
"GO:0009734","C1","auxin-activated signaling pathway",0.0874831361333132,"3/88"
"GO:0043207","C1","response to external biotic stimulus",0.0874831361333132,"3/88"
"GO:0051707","C1","response to other organism",0.0874831361333132,"3/88"
"GO:0071365","C1","cellular response to auxin stimulus",0.0874831361333132,"3/88"
"GO:0098542","C1","defense response to other organism",0.0874831361333132,"3/88"
"GO:0007049","C1","cell cycle",0.0894128281615697,"4/88"
"GO:0009664","C1","plant-type cell wall organization",0.0936347181715751,"2/88"
"GO:0008652","C1","cellular amino acid biosynthetic process",0.0949750534099855,"4/88"
"GO:0072330","C1","monocarboxylic acid biosynthetic process",0.100698438576387,"4/88"
"GO:0009250","C1","glucan biosynthetic process",0.105271573715018,"2/88"
"GO:0016125","C1","sterol metabolic process",0.105271573715018,"2/88"
"GO:0016052","C1","carbohydrate catabolic process",0.10657947943209,"4/88"
"GO:0009755","C1","hormone-mediated signaling pathway",0.109577971472564,"4/88"
"GO:0032870","C1","cellular response to hormone stimulus",0.109577971472564,"4/88"
"GO:0071495","C1","cellular response to endogenous stimulus",0.109577971472564,"4/88"
"GO:0009069","C1","serine family amino acid metabolic process",0.111230784449639,"2/88"
"GO:0009116","C1","nucleoside metabolic process",0.117276721933893,"2/88"
"GO:0009605","C1","response to external stimulus",0.11879954300977,"4/88"
"GO:0051704","C1","multi-organism process",0.121947094880305,"4/88"
"GO:0015711","C1","organic anion transport",0.123404241503917,"2/88"
"GO:0071310","C1","cellular response to organic substance",0.125130634210853,"4/88"
"GO:0007154","C1","cell communication",0.125400609564043,"9/88"
"GO:1901657","C1","glycosyl compound metabolic process",0.129608355068567,"2/88"
"GO:0022402","C1","cell cycle process",0.130143164058248,"3/88"
"GO:0044262","C1","cellular carbohydrate metabolic process",0.141569308082205,"4/88"
"GO:0006575","C1","cellular modified amino acid metabolic process",0.142227171248786,"2/88"
"GO:0016054","C1","organic acid catabolic process",0.142227171248786,"2/88"
"GO:0046395","C1","carboxylic acid catabolic process",0.142227171248786,"2/88"
"GO:0006520","C1","cellular amino acid metabolic process",0.145251261929733,"6/88"
"GO:0006073","C1","cellular glucan metabolic process",0.147195526465227,"3/88"
"GO:0044042","C1","glucan metabolic process",0.147195526465227,"3/88"
"GO:0009607","C1","response to biotic stimulus",0.151569472926702,"3/88"
"GO:0042545","C1","cell wall modification",0.161613723167833,"2/88"
"GO:0042546","C1","cell wall biogenesis",0.168180935955467,"2/88"
"GO:1903047","C1","mitotic cell cycle process",0.168180935955467,"2/88"
"GO:0006213","C1","pyrimidine nucleoside metabolic process",0.170277250955819,"1/88"
"GO:0009409","C1","response to cold",0.170277250955819,"1/88"
"GO:0009742","C1","brassinosteroid mediated signaling pathway",0.170277250955819,"1/88"
"GO:0043401","C1","steroid hormone mediated signaling pathway",0.170277250955819,"1/88"
"GO:0048545","C1","response to steroid hormone",0.170277250955819,"1/88"
"GO:0071367","C1","cellular response to brassinosteroid stimulus",0.170277250955819,"1/88"
"GO:0071383","C1","cellular response to steroid hormone stimulus",0.170277250955819,"1/88"
"GO:0044272","C1","sulfur compound biosynthetic process",0.174793891800841,"2/88"
"GO:1901137","C1","carbohydrate derivative biosynthetic process",0.178963964686148,"5/88"
"GO:0009768","C1","photosynthesis, light harvesting in photosystem I",0.185639254304417,"1/88"
"GO:0009832","C1","plant-type cell wall biogenesis",0.185639254304417,"1/88"
"GO:0042181","C1","ketone biosynthetic process",0.185639254304417,"1/88"
"GO:0042451","C1","purine nucleoside biosynthetic process",0.185639254304417,"1/88"
"GO:0046129","C1","purine ribonucleoside biosynthetic process",0.185639254304417,"1/88"
"GO:1901661","C1","quinone metabolic process",0.185639254304417,"1/88"
"GO:1901663","C1","quinone biosynthetic process",0.185639254304417,"1/88"
"GO:0000079","C1","regulation of cyclin-dependent protein serine/threonine kinase activity",0.200720008854335,"1/88"
"GO:0006284","C1","base-excision repair",0.200720008854335,"1/88"
"GO:0009112","C1","nucleobase metabolic process",0.200720008854335,"1/88"
"GO:0009741","C1","response to brassinosteroid",0.200720008854335,"1/88"
"GO:0071407","C1","cellular response to organic cyclic compound",0.200720008854335,"1/88"
"GO:0071900","C1","regulation of protein serine/threonine kinase activity",0.200720008854335,"1/88"
"GO:0140013","C1","meiotic nuclear division",0.200720008854335,"1/88"
"GO:1903046","C1","meiotic cell cycle process",0.200720008854335,"1/88"
"GO:1904029","C1","regulation of cyclin-dependent protein kinase activity",0.200720008854335,"1/88"
"GO:0006820","C1","anion transport",0.208413672993317,"2/88"
"GO:0008202","C1","steroid metabolic process",0.208413672993317,"2/88"
"GO:0009147","C1","pyrimidine nucleoside triphosphate metabolic process",0.215524605617294,"1/88"
"GO:0009225","C1","nucleotide-sugar metabolic process",0.215524605617294,"1/88"
"GO:0006629","C1","lipid metabolic process",0.21602524645386,"9/88"
"GO:0070887","C1","cellular response to chemical stimulus",0.226552071801018,"4/88"
"GO:0009308","C1","amine metabolic process",0.228905282570611,"2/88"
"GO:0006890","C1","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",0.2300580445027,"1/88"
"GO:0043094","C1","cellular metabolic compound salvage",0.2300580445027,"1/88"
"GO:0045489","C1","pectin biosynthetic process",0.2300580445027,"1/88"
"GO:0051321","C1","meiotic cell cycle",0.2300580445027,"1/88"
"GO:0032787","C1","monocarboxylic acid metabolic process",0.230524861101149,"4/88"
"GO:0044282","C1","small molecule catabolic process",0.235770071952625,"2/88"
"GO:0030163","C1","protein catabolic process",0.238523634239464,"4/88"
"GO:0000278","C1","mitotic cell cycle",0.242647138094164,"2/88"
"GO:0009067","C1","aspartate family amino acid biosynthetic process",0.244325235929055,"1/88"
"GO:0009690","C1","cytokinin metabolic process",0.244325235929055,"1/88"
"GO:0016126","C1","sterol biosynthetic process",0.244325235929055,"1/88"
"GO:0019953","C1","sexual reproduction",0.244325235929055,"1/88"
"GO:0030245","C1","cellulose catabolic process",0.244325235929055,"1/88"
"GO:0034754","C1","cellular hormone metabolic process",0.244325235929055,"1/88"
"GO:0044703","C1","multi-organism reproductive process",0.244325235929055,"1/88"
"GO:0051275","C1","beta-glucan catabolic process",0.244325235929055,"1/88"
"GO:0019752","C1","carboxylic acid metabolic process",0.251874815251699,"9/88"
"GO:0009124","C1","nucleoside monophosphate biosynthetic process",0.256427152424433,"2/88"
"GO:0000097","C1","sulfur amino acid biosynthetic process",0.258331002407203,"1/88"
"GO:0009251","C1","glucan catabolic process",0.258331002407203,"1/88"
"GO:0042180","C1","cellular ketone metabolic process",0.258331002407203,"1/88"
"GO:0044247","C1","cellular polysaccharide catabolic process",0.258331002407203,"1/88"
"GO:0046128","C1","purine ribonucleoside metabolic process",0.258331002407203,"1/88"
"GO:0051716","C1","cellular response to stimulus",0.264035725419442,"10/88"
"GO:0043436","C1","oxoacid metabolic process",0.264270008710669,"9/88"
"GO:0009733","C1","response to auxin",0.266106095282852,"3/88"
"GO:0042278","C1","purine nucleoside metabolic process",0.272080080095883,"1/88"
"GO:0006082","C1","organic acid metabolic process",0.276861968745053,"9/88"
"GO:0051726","C1","regulation of cell cycle",0.284019285057124,"2/88"
"GO:0009066","C1","aspartate family amino acid metabolic process",0.285577120330094,"1/88"
"GO:0044275","C1","cellular carbohydrate catabolic process",0.285577120330094,"1/88"
"GO:0045786","C1","negative regulation of cell cycle",0.285577120330094,"1/88"
"GO:0006486","C1","protein glycosylation",0.290910161506854,"2/88"
"GO:0009101","C1","glycoprotein biosynthetic process",0.290910161506854,"2/88"
"GO:0042743","C1","hydrogen peroxide metabolic process",0.290910161506854,"2/88"
"GO:0042744","C1","hydrogen peroxide catabolic process",0.290910161506854,"2/88"
"GO:0043413","C1","macromolecule glycosylation",0.290910161506854,"2/88"
"GO:0006732","C1","coenzyme metabolic process",0.291396475581106,"3/88"
"GO:0007264","C1","small GTPase mediated signal transduction",0.298826691122707,"1/88"
"GO:0009100","C1","glycoprotein metabolic process",0.304668036153093,"2/88"
"GO:0005996","C1","monosaccharide metabolic process",0.311530984082079,"2/88"
"GO:0006633","C1","fatty acid biosynthetic process",0.311530984082079,"2/88"
"GO:0017001","C1","antibiotic catabolic process",0.311530984082079,"2/88"
"GO:1901135","C1","carbohydrate derivative metabolic process",0.311647055922018,"6/88"
"GO:0000160","C1","phosphorelay signal transduction system",0.311833278639824,"1/88"
"GO:0009606","C1","tropism",0.311833278639824,"1/88"
"GO:0014070","C1","response to organic cyclic compound",0.311833278639824,"1/88"
"GO:0006595","C1","polyamine metabolic process",0.324601288650302,"1/88"
"GO:0006596","C1","polyamine biosynthetic process",0.324601288650302,"1/88"
"GO:0009765","C1","photosynthesis, light harvesting",0.324601288650302,"1/88"
"GO:0051301","C1","cell division",0.324601288650302,"1/88"
"GO:0070085","C1","glycosylation",0.325215340502106,"2/88"
"GO:0051246","C1","regulation of protein metabolic process",0.332033142191043,"2/88"
"GO:0009620","C1","response to fungus",0.337135047949916,"1/88"
"GO:0043414","C1","macromolecule methylation",0.337135047949916,"1/88"
"GO:0050832","C1","defense response to fungus",0.337135047949916,"1/88"
"GO:0009123","C1","nucleoside monophosphate metabolic process",0.338832404540777,"2/88"
"GO:0009719","C1","response to endogenous stimulus",0.342575226981004,"4/88"
"GO:0009725","C1","response to hormone",0.342575226981004,"4/88"
"GO:0051187","C1","cofactor catabolic process",0.345611495600813,"2/88"
"GO:0072593","C1","reactive oxygen species metabolic process",0.345611495600813,"2/88"
"GO:0055086","C1","nucleobase-containing small molecule metabolic process",0.34682317986655,"4/88"
"GO:0000096","C1","sulfur amino acid metabolic process",0.349438805760591,"1/88"
"GO:0001932","C1","regulation of protein phosphorylation",0.36151673510512,"1/88"
"GO:0006767","C1","water-soluble vitamin metabolic process",0.36151673510512,"1/88"
"GO:0009073","C1","aromatic amino acid family biosynthetic process",0.36151673510512,"1/88"
"GO:0042325","C1","regulation of phosphorylation",0.36151673510512,"1/88"
"GO:0042364","C1","water-soluble vitamin biosynthetic process",0.36151673510512,"1/88"
"GO:0043549","C1","regulation of kinase activity",0.36151673510512,"1/88"
"GO:0045859","C1","regulation of protein kinase activity",0.36151673510512,"1/88"
"GO:1901136","C1","carbohydrate derivative catabolic process",0.36151673510512,"1/88"
"GO:0006004","C1","fucose metabolic process",0.373372934157821,"1/88"
"GO:0009166","C1","nucleotide catabolic process",0.373372934157821,"1/88"
"GO:0009309","C1","amine biosynthetic process",0.373372934157821,"1/88"
"GO:0042401","C1","cellular biogenic amine biosynthetic process",0.373372934157821,"1/88"
"GO:0071396","C1","cellular response to lipid",0.373372934157821,"1/88"
"GO:1901292","C1","nucleoside phosphate catabolic process",0.373372934157821,"1/88"
"GO:0006631","C1","fatty acid metabolic process",0.379151727943646,"2/88"
"GO:0034220","C1","ion transmembrane transport",0.379151727943646,"2/88"
"GO:0007346","C1","regulation of mitotic cell cycle",0.385011427571521,"1/88"
"GO:0048523","C1","negative regulation of cellular process",0.385779047985887,"2/88"
"GO:0051186","C1","cofactor metabolic process",0.387819225696204,"5/88"
"GO:0055085","C1","transmembrane transport",0.393549052983305,"4/88"
"GO:0000280","C1","nuclear division",0.396436167781297,"1/88"
"GO:0010033","C1","response to organic substance",0.397784100879602,"4/88"
"GO:0006355","C1","regulation of transcription, DNA-templated",0.404489574148379,"9/88"
"GO:1903506","C1","regulation of nucleic acid-templated transcription",0.404489574148379,"9/88"
"GO:2001141","C1","regulation of RNA biosynthetic process",0.404489574148379,"9/88"
"GO:0045893","C1","positive regulation of transcription, DNA-templated",0.411978329409055,"2/88"
"GO:0051254","C1","positive regulation of RNA metabolic process",0.411978329409055,"2/88"
"GO:1901615","C1","organic hydroxy compound metabolic process",0.411978329409055,"2/88"
"GO:1902680","C1","positive regulation of RNA biosynthetic process",0.411978329409055,"2/88"
"GO:1903508","C1","positive regulation of nucleic acid-templated transcription",0.411978329409055,"2/88"
"GO:0006576","C1","cellular biogenic amine metabolic process",0.418659844903499,"1/88"
"GO:0006887","C1","exocytosis",0.418659844903499,"1/88"
"GO:0032940","C1","secretion by cell",0.418659844903499,"1/88"
"GO:0044106","C1","cellular amine metabolic process",0.418659844903499,"1/88"
"GO:0051252","C1","regulation of RNA metabolic process",0.423603418842897,"9/88"
"GO:0045935","C1","positive regulation of nucleobase-containing compound metabolic process",0.424876996775278,"2/88"
"GO:0045892","C1","negative regulation of transcription, DNA-templated",0.429466337013447,"1/88"
"GO:1902679","C1","negative regulation of RNA biosynthetic process",0.429466337013447,"1/88"
"GO:1903507","C1","negative regulation of nucleic acid-templated transcription",0.429466337013447,"1/88"
"GO:0007017","C1","microtubule-based process",0.437631435977812,"2/88"
"GO:0046903","C1","secretion",0.440074188765574,"1/88"
"GO:0051253","C1","negative regulation of RNA metabolic process",0.440074188765574,"1/88"
"GO:0006952","C1","defense response",0.448160328788946,"4/88"
"GO:0006928","C1","movement of cell or subcellular component",0.450487010276273,"1/88"
"GO:0007018","C1","microtubule-based movement",0.450487010276273,"1/88"
"GO:0010410","C1","hemicellulose metabolic process",0.450487010276273,"1/88"
"GO:0018298","C1","protein-chromophore linkage",0.450487010276273,"1/88"
"GO:0046434","C1","organophosphate catabolic process",0.450487010276273,"1/88"
"GO:0051338","C1","regulation of transferase activity",0.450487010276273,"1/88"
"GO:0006694","C1","steroid biosynthetic process",0.460708346800409,"1/88"
"GO:0010383","C1","cell wall polysaccharide metabolic process",0.460708346800409,"1/88"
"GO:0019220","C1","regulation of phosphate metabolic process",0.460708346800409,"1/88"
"GO:0045934","C1","negative regulation of nucleobase-containing compound metabolic process",0.460708346800409,"1/88"
"GO:0051174","C1","regulation of phosphorus metabolic process",0.460708346800409,"1/88"
"GO:0019219","C1","regulation of nucleobase-containing compound metabolic process",0.461769325953881,"9/88"
"GO:0009966","C1","regulation of signal transduction",0.470741679883192,"1/88"
"GO:0010646","C1","regulation of cell communication",0.470741679883192,"1/88"
"GO:0023051","C1","regulation of signaling",0.470741679883192,"1/88"
"GO:0042446","C1","hormone biosynthetic process",0.470741679883192,"1/88"
"GO:0010556","C1","regulation of macromolecule biosynthetic process",0.475329298730905,"9/88"
"GO:2000112","C1","regulation of cellular macromolecule biosynthetic process",0.475329298730905,"9/88"
"GO:0009888","C1","tissue development",0.480590428491837,"1/88"
"GO:0010558","C1","negative regulation of macromolecule biosynthetic process",0.480590428491837,"1/88"
"GO:2000113","C1","negative regulation of cellular macromolecule biosynthetic process",0.480590428491837,"1/88"
"GO:0009891","C1","positive regulation of biosynthetic process",0.481044345163924,"2/88"
"GO:0010557","C1","positive regulation of macromolecule biosynthetic process",0.481044345163924,"2/88"
"GO:0031328","C1","positive regulation of cellular biosynthetic process",0.481044345163924,"2/88"
"GO:0009889","C1","regulation of biosynthetic process",0.488828442595814,"9/88"
"GO:0031326","C1","regulation of cellular biosynthetic process",0.488828442595814,"9/88"
"GO:0030154","C1","cell differentiation",0.490257950127353,"1/88"
"GO:0010628","C1","positive regulation of gene expression",0.493075320236485,"2/88"
"GO:0006790","C1","sulfur compound metabolic process",0.499025910286728,"2/88"
"GO:0009165","C1","nucleotide biosynthetic process",0.499025910286728,"2/88"
"GO:0009266","C1","response to temperature stimulus",0.499747541916816,"1/88"
"GO:0009890","C1","negative regulation of biosynthetic process",0.499747541916816,"1/88"
"GO:0031327","C1","negative regulation of cellular biosynthetic process",0.499747541916816,"1/88"
"GO:0048193","C1","Golgi vesicle transport",0.499747541916816,"1/88"
"GO:0035556","C1","intracellular signal transduction",0.504932618174599,"2/88"
"GO:1901293","C1","nucleoside phosphate biosynthetic process",0.504932618174599,"2/88"
"GO:0048285","C1","organelle fission",0.518205829015894,"1/88"
"GO:0051172","C1","negative regulation of nitrogen compound metabolic process",0.518205829015894,"1/88"
"GO:0008610","C1","lipid biosynthetic process",0.521129560755998,"4/88"
"GO:0006979","C1","response to oxidative stress",0.522385360871193,"2/88"
"GO:0031399","C1","regulation of protein modification process",0.527180826273853,"1/88"
"GO:0016999","C1","antibiotic metabolic process",0.533794127970334,"2/88"
"GO:0031324","C1","negative regulation of cellular metabolic process",0.535990499635678,"1/88"
"GO:0006508","C1","proteolysis",0.53739731704132,"3/88"
"GO:0033993","C1","response to lipid",0.553125864385586,"1/88"
"GO:0044036","C1","cell wall macromolecule metabolic process",0.561457416066533,"1/88"
"GO:0006511","C1","ubiquitin-dependent protein catabolic process",0.566909346550792,"2/88"
"GO:0050790","C1","regulation of catalytic activity",0.577662515090927,"1/88"
"GO:0065009","C1","regulation of molecular function",0.593275356004076,"1/88"
"GO:1901617","C1","organic hydroxy compound biosynthetic process",0.593275356004076,"1/88"
"GO:0019941","C1","modification-dependent protein catabolic process",0.598328441385722,"2/88"
"GO:0051173","C1","positive regulation of nitrogen compound metabolic process",0.598328441385722,"2/88"
"GO:0042445","C1","hormone metabolic process",0.600866399200606,"1/88"
"GO:0043632","C1","modification-dependent macromolecule catabolic process",0.603398596544446,"2/88"
"GO:0009156","C1","ribonucleoside monophosphate biosynthetic process",0.608317344654647,"1/88"
"GO:0019684","C1","photosynthesis, light reaction",0.608317344654647,"1/88"
"GO:0006950","C1","response to stress",0.613246873743945,"8/88"
"GO:0010604","C1","positive regulation of macromolecule metabolic process",0.613396080154085,"2/88"
"GO:0031325","C1","positive regulation of cellular metabolic process",0.613396080154085,"2/88"
"GO:0009893","C1","positive regulation of metabolic process",0.628035595115634,"2/88"
"GO:0042221","C1","response to chemical",0.628333660748938,"4/88"
"GO:0034655","C1","nucleobase-containing compound catabolic process",0.629854929003785,"1/88"
"GO:0048869","C1","cellular developmental process",0.629854929003785,"1/88"
"GO:0048522","C1","positive regulation of cellular process",0.637558089103579,"2/88"
"GO:1901701","C1","cellular response to oxygen-containing compound",0.643558483603663,"1/88"
"GO:0006468","C1","protein phosphorylation",0.650220941854062,"1/88"
"GO:0019318","C1","hexose metabolic process",0.650220941854062,"1/88"
"GO:0048519","C1","negative regulation of biological process",0.656037111017814,"2/88"
"GO:0051603","C1","proteolysis involved in cellular protein catabolic process",0.660539667731867,"2/88"
"GO:0044257","C1","cellular protein catabolic process",0.669405172812496,"2/88"
"GO:0010817","C1","regulation of hormone levels",0.675661646613044,"1/88"
"GO:0032268","C1","regulation of cellular protein metabolic process",0.675661646613044,"1/88"
"GO:0071705","C1","nitrogen compound transport",0.680684753679209,"4/88"
"GO:0007010","C1","cytoskeleton organization",0.68173049098856,"1/88"
"GO:0008299","C1","isoprenoid biosynthetic process",0.687687044964103,"1/88"
"GO:0009161","C1","ribonucleoside monophosphate metabolic process",0.687687044964103,"1/88"
"GO:0046700","C1","heterocycle catabolic process",0.693533362778007,"1/88"
"GO:0006753","C1","nucleoside phosphate metabolic process",0.703032714082448,"2/88"
"GO:0009117","C1","nucleotide metabolic process",0.703032714082448,"2/88"
"GO:0009141","C1","nucleoside triphosphate metabolic process",0.704903321782743,"1/88"
"GO:0044270","C1","cellular nitrogen compound catabolic process",0.704903321782743,"1/88"
"GO:0009260","C1","ribonucleotide biosynthetic process",0.710430888339388,"1/88"
"GO:0046390","C1","ribose phosphate biosynthetic process",0.710430888339388,"1/88"
"GO:0048583","C1","regulation of response to stimulus",0.710430888339388,"1/88"
"GO:0072522","C1","purine-containing compound biosynthetic process",0.721180744049972,"1/88"
"GO:0009628","C1","response to abiotic stimulus",0.726376117877005,"2/88"
"GO:0048518","C1","positive regulation of biological process",0.730114585355777,"2/88"
"GO:0009108","C1","coenzyme biosynthetic process",0.731535894152726,"1/88"
"GO:0016192","C1","vesicle-mediated transport",0.733810318220308,"2/88"
"GO:0090407","C1","organophosphate biosynthetic process",0.737463598158242,"2/88"
"GO:0043412","C1","macromolecule modification",0.737501415984661,"5/88"
"GO:0009416","C1","response to light stimulus",0.741510670651465,"1/88"
"GO:0006720","C1","isoprenoid metabolic process",0.751118890979551,"1/88"
"GO:0009314","C1","response to radiation",0.751118890979551,"1/88"
"GO:0006811","C1","ion transport",0.751657966154692,"2/88"
"GO:0010629","C1","negative regulation of gene expression",0.764872937261294,"1/88"
"GO:0044265","C1","cellular macromolecule catabolic process",0.771726192718829,"2/88"
"GO:0010605","C1","negative regulation of macromolecule metabolic process",0.777875049824169,"1/88"
"GO:0006464","C1","cellular protein modification process",0.788635035851064,"4/88"
"GO:0036211","C1","protein modification process",0.788635035851064,"4/88"
"GO:0009892","C1","negative regulation of metabolic process",0.790165890033923,"1/88"
"GO:0044255","C1","cellular lipid metabolic process",0.793717449689942,"3/88"
"GO:0032259","C1","methylation",0.797983723988673,"1/88"
"GO:0006259","C1","DNA metabolic process",0.802077906699604,"2/88"
"GO:0006793","C1","phosphorus metabolic process",0.806383788405839,"4/88"
"GO:0009259","C1","ribonucleotide metabolic process",0.816290806378933,"1/88"
"GO:0016310","C1","phosphorylation",0.816290806378933,"1/88"
"GO:0006281","C1","DNA repair",0.819750341803426,"1/88"
"GO:0006974","C1","cellular response to DNA damage stimulus",0.826477332757778,"1/88"
"GO:0072521","C1","purine-containing compound metabolic process",0.836105089507532,"1/88"
"GO:0051188","C1","cofactor biosynthetic process",0.842228205968241,"1/88"
"GO:0065008","C1","regulation of biological quality",0.843316254920264,"3/88"
"GO:0019693","C1","ribose phosphate metabolic process",0.84812506595994,"1/88"
"GO:1901700","C1","response to oxygen-containing compound",0.861930869238194,"1/88"
"GO:0071702","C1","organic substance transport",0.867363524921276,"4/88"
"GO:0032502","C1","developmental process",0.880375955988854,"2/88"
"GO:0055114","C1","oxidation-reduction process",0.881483179202939,"1/88"
"GO:0015979","C1","photosynthesis",0.888086733905222,"1/88"
"GO:0006091","C1","generation of precursor metabolites and energy",0.896328729676975,"1/88"
"GO:0015031","C1","protein transport",0.912057869290097,"2/88"
"GO:0006796","C1","phosphate-containing compound metabolic process",0.913846569222188,"3/88"
"GO:0000003","C1","reproduction",0.914399960451937,"1/88"
"GO:0022414","C1","reproductive process",0.914399960451937,"1/88"
"GO:0019637","C1","organophosphate metabolic process",0.916078870190489,"2/88"
"GO:0045184","C1","establishment of protein localization",0.91866417664806,"2/88"
"GO:0006886","C1","intracellular protein transport",0.922229706050273,"1/88"
"GO:0008104","C1","protein localization",0.929408447311495,"2/88"
"GO:0015833","C1","peptide transport",0.929408447311495,"2/88"
"GO:0042886","C1","amide transport",0.929408447311495,"2/88"
