"","TF","Description","pvalue","ratio"
"GO:0042866","Solyc02g082110.4","pyruvate biosynthetic process",0.114460364871546,"1/32"
"GO:0046031","Solyc02g082110.4","ADP metabolic process",0.114460364871546,"1/32"
"GO:0046939","Solyc02g082110.4","nucleotide phosphorylation",0.114460364871546,"1/32"
"GO:0006563","Solyc02g082110.4","L-serine metabolic process",0.120432391915616,"1/32"
"GO:0009070","Solyc02g082110.4","serine family amino acid biosynthetic process",0.120432391915616,"1/32"
"GO:0009636","Solyc02g082110.4","response to toxic substance",0.120432391915616,"1/32"
"GO:0048589","Solyc02g082110.4","developmental growth",0.120432391915616,"1/32"
"GO:0051274","Solyc02g082110.4","beta-glucan biosynthetic process",0.120432391915616,"1/32"
"GO:0009165","Solyc02g082110.4","nucleotide biosynthetic process",0.121706532736435,"2/32"
"GO:1901293","Solyc02g082110.4","nucleoside phosphate biosynthetic process",0.123937353735754,"2/32"
"GO:0009611","Solyc02g082110.4","response to wounding",0.126365394331025,"1/32"
"GO:0014070","Solyc02g082110.4","response to organic cyclic compound",0.126365394331025,"1/32"
"GO:0008652","Solyc02g082110.4","cellular amino acid biosynthetic process",0.130690728190029,"2/32"
"GO:0040007","Solyc02g082110.4","growth",0.132259618952869,"1/32"
"GO:0046165","Solyc02g082110.4","alcohol biosynthetic process",0.132259618952869,"1/32"
"GO:0072330","Solyc02g082110.4","monocarboxylic acid biosynthetic process",0.135241493280224,"2/32"
"GO:0006955","Solyc02g082110.4","immune response",0.138115311106709,"1/32"
"GO:0009620","Solyc02g082110.4","response to fungus",0.138115311106709,"1/32"
"GO:0031347","Solyc02g082110.4","regulation of defense response",0.138115311106709,"1/32"
"GO:0042493","Solyc02g082110.4","response to drug",0.138115311106709,"1/32"
"GO:0045087","Solyc02g082110.4","innate immune response",0.138115311106709,"1/32"
"GO:0050832","Solyc02g082110.4","defense response to fungus",0.138115311106709,"1/32"
"GO:0071554","Solyc02g082110.4","cell wall organization or biogenesis",0.138118329963289,"3/32"
"GO:1901606","Solyc02g082110.4","alpha-amino acid catabolic process",0.143932714617484,"1/32"
"GO:0010411","Solyc02g082110.4","xyloglucan metabolic process",0.149712071818379,"1/32"
"GO:0002376","Solyc02g082110.4","immune system process",0.155453623559635,"1/32"
"GO:0009166","Solyc02g082110.4","nucleotide catabolic process",0.155453623559635,"1/32"
"GO:0009617","Solyc02g082110.4","response to bacterium",0.155453623559635,"1/32"
"GO:0042742","Solyc02g082110.4","defense response to bacterium",0.155453623559635,"1/32"
"GO:1901292","Solyc02g082110.4","nucleoside phosphate catabolic process",0.155453623559635,"1/32"
"GO:0009063","Solyc02g082110.4","cellular amino acid catabolic process",0.161157609217315,"1/32"
"GO:0065004","Solyc02g082110.4","protein-DNA complex assembly",0.161157609217315,"1/32"
"GO:0009639","Solyc02g082110.4","response to red or far red light",0.16682426670202,"1/32"
"GO:0009737","Solyc02g082110.4","response to abscisic acid",0.16682426670202,"1/32"
"GO:0071824","Solyc02g082110.4","protein-DNA complex subunit organization",0.16682426670202,"1/32"
"GO:0097305","Solyc02g082110.4","response to alcohol",0.16682426670202,"1/32"
"GO:0055114","Solyc02g082110.4","oxidation-reduction process",0.175240051758437,"2/32"
"GO:0019637","Solyc02g082110.4","organophosphate metabolic process",0.176945015392881,"3/32"
"GO:0006352","Solyc02g082110.4","DNA-templated transcription, initiation",0.178046541519509,"1/32"
"GO:0006090","Solyc02g082110.4","pyruvate metabolic process",0.183602627423897,"1/32"
"GO:0009250","Solyc02g082110.4","glucan biosynthetic process",0.183602627423897,"1/32"
"GO:0080134","Solyc02g082110.4","regulation of response to stress",0.183602627423897,"1/32"
"GO:0009069","Solyc02g082110.4","serine family amino acid metabolic process",0.189122322315601,"1/32"
"GO:0046434","Solyc02g082110.4","organophosphate catabolic process",0.194605856906874,"1/32"
"GO:0006066","Solyc02g082110.4","alcohol metabolic process",0.200053460495752,"1/32"
"GO:0030243","Solyc02g082110.4","cellulose metabolic process",0.200053460495752,"1/32"
"GO:0051273","Solyc02g082110.4","beta-glucan metabolic process",0.205465360974427,"1/32"
"GO:0016054","Solyc02g082110.4","organic acid catabolic process",0.216182957190618,"1/32"
"GO:0046395","Solyc02g082110.4","carboxylic acid catabolic process",0.216182957190618,"1/32"
"GO:0006753","Solyc02g082110.4","nucleoside phosphate metabolic process",0.219424250546924,"2/32"
"GO:0009117","Solyc02g082110.4","nucleotide metabolic process",0.219424250546924,"2/32"
"GO:0071229","Solyc02g082110.4","cellular response to acid chemical",0.221489101757976,"1/32"
"GO:0032787","Solyc02g082110.4","monocarboxylic acid metabolic process",0.224408072336854,"2/32"
"GO:0006754","Solyc02g082110.4","ATP biosynthetic process",0.226760440891227,"1/32"
"GO:1901135","Solyc02g082110.4","carbohydrate derivative metabolic process",0.2328817646924,"3/32"
"GO:0048518","Solyc02g082110.4","positive regulation of biological process",0.236910862004402,"2/32"
"GO:0008654","Solyc02g082110.4","phospholipid biosynthetic process",0.237199585446334,"1/32"
"GO:0009145","Solyc02g082110.4","purine nucleoside triphosphate biosynthetic process",0.242367828780172,"1/32"
"GO:0009206","Solyc02g082110.4","purine ribonucleoside triphosphate biosynthetic process",0.242367828780172,"1/32"
"GO:0009064","Solyc02g082110.4","glutamine family amino acid metabolic process",0.247502142519908,"1/32"
"GO:0016114","Solyc02g082110.4","terpenoid biosynthetic process",0.247502142519908,"1/32"
"GO:0034404","Solyc02g082110.4","nucleobase-containing small molecule biosynthetic process",0.247502142519908,"1/32"
"GO:0033993","Solyc02g082110.4","response to lipid",0.252602742274063,"1/32"
"GO:0009127","Solyc02g082110.4","purine nucleoside monophosphate biosynthetic process",0.262703655643999,"1/32"
"GO:0009168","Solyc02g082110.4","purine ribonucleoside monophosphate biosynthetic process",0.262703655643999,"1/32"
"GO:0009201","Solyc02g082110.4","ribonucleoside triphosphate biosynthetic process",0.262703655643999,"1/32"
"GO:0009908","Solyc02g082110.4","flower development",0.262703655643999,"1/32"
"GO:0090567","Solyc02g082110.4","reproductive shoot system development",0.262703655643999,"1/32"
"GO:0044085","Solyc02g082110.4","cellular component biogenesis",0.265784838969588,"3/32"
"GO:0042592","Solyc02g082110.4","homeostatic process",0.267082545155056,"2/32"
"GO:0009142","Solyc02g082110.4","nucleoside triphosphate biosynthetic process",0.26770439388465,"1/32"
"GO:0006721","Solyc02g082110.4","terpenoid metabolic process",0.282510255251615,"1/32"
"GO:0009156","Solyc02g082110.4","ribonucleoside monophosphate biosynthetic process",0.287380783854065,"1/32"
"GO:0044282","Solyc02g082110.4","small molecule catabolic process",0.287380783854065,"1/32"
"GO:0046034","Solyc02g082110.4","ATP metabolic process",0.287380783854065,"1/32"
"GO:0009124","Solyc02g082110.4","nucleoside monophosphate biosynthetic process",0.301800967352185,"1/32"
"GO:0034655","Solyc02g082110.4","nucleobase-containing compound catabolic process",0.301800967352185,"1/32"
"GO:0048878","Solyc02g082110.4","chemical homeostasis",0.301800967352185,"1/32"
"GO:0045229","Solyc02g082110.4","external encapsulating structure organization",0.304862037301732,"2/32"
"GO:0071555","Solyc02g082110.4","cell wall organization",0.304862037301732,"2/32"
"GO:0009144","Solyc02g082110.4","purine nucleoside triphosphate metabolic process",0.306544570121767,"1/32"
"GO:0009205","Solyc02g082110.4","purine ribonucleoside triphosphate metabolic process",0.306544570121767,"1/32"
"GO:1901701","Solyc02g082110.4","cellular response to oxygen-containing compound",0.311256945096518,"1/32"
"GO:0006796","Solyc02g082110.4","phosphate-containing compound metabolic process",0.312463145008968,"3/32"
"GO:0017144","Solyc02g082110.4","drug metabolic process",0.312463145008968,"3/32"
"GO:0010035","Solyc02g082110.4","response to inorganic substance",0.315938291264086,"1/32"
"GO:0006793","Solyc02g082110.4","phosphorus metabolic process",0.319991239443739,"3/32"
"GO:0009126","Solyc02g082110.4","purine nucleoside monophosphate metabolic process",0.320588806386149,"1/32"
"GO:0009167","Solyc02g082110.4","purine ribonucleoside monophosphate metabolic process",0.320588806386149,"1/32"
"GO:0009734","Solyc02g082110.4","auxin-activated signaling pathway",0.320588806386149,"1/32"
"GO:0043207","Solyc02g082110.4","response to external biotic stimulus",0.320588806386149,"1/32"
"GO:0051707","Solyc02g082110.4","response to other organism",0.320588806386149,"1/32"
"GO:0071365","Solyc02g082110.4","cellular response to auxin stimulus",0.320588806386149,"1/32"
"GO:0098542","Solyc02g082110.4","defense response to other organism",0.320588806386149,"1/32"
"GO:0006486","Solyc02g082110.4","protein glycosylation",0.325208687005707,"1/32"
"GO:0009101","Solyc02g082110.4","glycoprotein biosynthetic process",0.325208687005707,"1/32"
"GO:0009199","Solyc02g082110.4","ribonucleoside triphosphate metabolic process",0.325208687005707,"1/32"
"GO:0043413","Solyc02g082110.4","macromolecule glycosylation",0.325208687005707,"1/32"
"GO:0006355","Solyc02g082110.4","regulation of transcription, DNA-templated",0.3295197810417,"4/32"
"GO:1903506","Solyc02g082110.4","regulation of nucleic acid-templated transcription",0.3295197810417,"4/32"
"GO:2001141","Solyc02g082110.4","regulation of RNA biosynthetic process",0.3295197810417,"4/32"
"GO:0009100","Solyc02g082110.4","glycoprotein metabolic process",0.334357324859413,"1/32"
"GO:0009152","Solyc02g082110.4","purine ribonucleotide biosynthetic process",0.334357324859413,"1/32"
"GO:0006164","Solyc02g082110.4","purine nucleotide biosynthetic process",0.338886469151247,"1/32"
"GO:0051252","Solyc02g082110.4","regulation of RNA metabolic process",0.340580666310454,"4/32"
"GO:0006644","Solyc02g082110.4","phospholipid metabolic process",0.343385753070252,"1/32"
"GO:0008299","Solyc02g082110.4","isoprenoid biosynthetic process",0.343385753070252,"1/32"
"GO:0009161","Solyc02g082110.4","ribonucleoside monophosphate metabolic process",0.343385753070252,"1/32"
"GO:0048367","Solyc02g082110.4","shoot system development",0.347855367174007,"1/32"
"GO:0070085","Solyc02g082110.4","glycosylation",0.347855367174007,"1/32"
"GO:0009123","Solyc02g082110.4","nucleoside monophosphate metabolic process",0.356706342294191,"1/32"
"GO:0009141","Solyc02g082110.4","nucleoside triphosphate metabolic process",0.356706342294191,"1/32"
"GO:0044270","Solyc02g082110.4","cellular nitrogen compound catabolic process",0.356706342294191,"1/32"
"GO:0009260","Solyc02g082110.4","ribonucleotide biosynthetic process",0.36108807857486,"1/32"
"GO:0046390","Solyc02g082110.4","ribose phosphate biosynthetic process",0.36108807857486,"1/32"
"GO:0048583","Solyc02g082110.4","regulation of response to stimulus",0.36108807857486,"1/32"
"GO:0019219","Solyc02g082110.4","regulation of nucleobase-containing compound metabolic process",0.362777217322252,"4/32"
"GO:0072522","Solyc02g082110.4","purine-containing compound biosynthetic process",0.369764978065907,"1/32"
"GO:0010556","Solyc02g082110.4","regulation of macromolecule biosynthetic process",0.370717845259935,"4/32"
"GO:2000112","Solyc02g082110.4","regulation of cellular macromolecule biosynthetic process",0.370717845259935,"4/32"
"GO:0009889","Solyc02g082110.4","regulation of biosynthetic process",0.378660322776267,"4/32"
"GO:0031326","Solyc02g082110.4","regulation of cellular biosynthetic process",0.378660322776267,"4/32"
"GO:0009416","Solyc02g082110.4","response to light stimulus",0.386777617922641,"1/32"
"GO:0006357","Solyc02g082110.4","regulation of transcription by RNA polymerase II",0.39096075930539,"1/32"
"GO:0009607","Solyc02g082110.4","response to biotic stimulus",0.39096075930539,"1/32"
"GO:0019439","Solyc02g082110.4","aromatic compound catabolic process",0.39096075930539,"1/32"
"GO:0001101","Solyc02g082110.4","response to acid chemical",0.395116250926334,"1/32"
"GO:0006720","Solyc02g082110.4","isoprenoid metabolic process",0.395116250926334,"1/32"
"GO:0009314","Solyc02g082110.4","response to radiation",0.395116250926334,"1/32"
"GO:0045893","Solyc02g082110.4","positive regulation of transcription, DNA-templated",0.403344991395959,"1/32"
"GO:0051254","Solyc02g082110.4","positive regulation of RNA metabolic process",0.403344991395959,"1/32"
"GO:1902680","Solyc02g082110.4","positive regulation of RNA biosynthetic process",0.403344991395959,"1/32"
"GO:1903508","Solyc02g082110.4","positive regulation of nucleic acid-templated transcription",0.403344991395959,"1/32"
"GO:0045935","Solyc02g082110.4","positive regulation of nucleobase-containing compound metabolic process",0.411465241453844,"1/32"
"GO:0007017","Solyc02g082110.4","microtubule-based process",0.419478385921555,"1/32"
"GO:0009150","Solyc02g082110.4","purine ribonucleotide metabolic process",0.435188812103725,"1/32"
"GO:0048608","Solyc02g082110.4","reproductive structure development",0.435188812103725,"1/32"
"GO:0061458","Solyc02g082110.4","reproductive system development",0.435188812103725,"1/32"
"GO:0006163","Solyc02g082110.4","purine nucleotide metabolic process",0.439051594324858,"1/32"
"GO:0032259","Solyc02g082110.4","methylation",0.439051594324858,"1/32"
"GO:0003006","Solyc02g082110.4","developmental process involved in reproduction",0.442888778801473,"1/32"
"GO:0009891","Solyc02g082110.4","positive regulation of biosynthetic process",0.446700529726928,"1/32"
"GO:0010557","Solyc02g082110.4","positive regulation of macromolecule biosynthetic process",0.446700529726928,"1/32"
"GO:0031328","Solyc02g082110.4","positive regulation of cellular biosynthetic process",0.446700529726928,"1/32"
"GO:0009791","Solyc02g082110.4","post-embryonic development",0.450487010276273,"1/32"
"GO:0044255","Solyc02g082110.4","cellular lipid metabolic process",0.450723968977947,"2/32"
"GO:0010628","Solyc02g082110.4","positive regulation of gene expression",0.45424838261235,"1/32"
"GO:0009259","Solyc02g082110.4","ribonucleotide metabolic process",0.457984807891855,"1/32"
"GO:0016310","Solyc02g082110.4","phosphorylation",0.457984807891855,"1/32"
"GO:0006366","Solyc02g082110.4","transcription by RNA polymerase II",0.461696446271367,"1/32"
"GO:0045454","Solyc02g082110.4","cell redox homeostasis",0.469045997992079,"1/32"
"GO:0006979","Solyc02g082110.4","response to oxidative stress",0.472684226699628,"1/32"
"GO:0072521","Solyc02g082110.4","purine-containing compound metabolic process",0.479888370893503,"1/32"
"GO:0009733","Solyc02g082110.4","response to auxin",0.483454595905589,"1/32"
"GO:0016052","Solyc02g082110.4","carbohydrate catabolic process",0.486997127609623,"1/32"
"GO:0009755","Solyc02g082110.4","hormone-mediated signaling pathway",0.490516118374144,"1/32"
"GO:0032870","Solyc02g082110.4","cellular response to hormone stimulus",0.490516118374144,"1/32"
"GO:0071495","Solyc02g082110.4","cellular response to endogenous stimulus",0.490516118374144,"1/32"
"GO:0019693","Solyc02g082110.4","ribose phosphate metabolic process",0.494011719620291,"1/32"
"GO:0009605","Solyc02g082110.4","response to external stimulus",0.500933354539095,"1/32"
"GO:0051704","Solyc02g082110.4","multi-organism process",0.504359686368047,"1/32"
"GO:0071310","Solyc02g082110.4","cellular response to organic substance",0.50776322500243,"1/32"
"GO:1901700","Solyc02g082110.4","response to oxygen-containing compound",0.511144117211042,"1/32"
"GO:0051173","Solyc02g082110.4","positive regulation of nitrogen compound metabolic process",0.521152369296776,"1/32"
"GO:0010604","Solyc02g082110.4","positive regulation of macromolecule metabolic process",0.530962000130079,"1/32"
"GO:0031325","Solyc02g082110.4","positive regulation of cellular metabolic process",0.530962000130079,"1/32"
"GO:0048731","Solyc02g082110.4","system development",0.53418840081706,"1/32"
"GO:0009893","Solyc02g082110.4","positive regulation of metabolic process",0.540576826791377,"1/32"
"GO:0048522","Solyc02g082110.4","positive regulation of cellular process",0.546880339511382,"1/32"
"GO:0006091","Solyc02g082110.4","generation of precursor metabolites and energy",0.559236982411378,"1/32"
"GO:0019725","Solyc02g082110.4","cellular homeostasis",0.568289595823635,"1/32"
"GO:0034622","Solyc02g082110.4","cellular protein-containing complex assembly",0.574224326268542,"1/32"
"GO:0000003","Solyc02g082110.4","reproduction",0.588717451698385,"1/32"
"GO:0022414","Solyc02g082110.4","reproductive process",0.588717451698385,"1/32"
"GO:0070887","Solyc02g082110.4","cellular response to chemical stimulus",0.594379873855671,"1/32"
"GO:0009628","Solyc02g082110.4","response to abiotic stimulus",0.608207508061306,"1/32"
"GO:0065003","Solyc02g082110.4","protein-containing complex assembly",0.613609731426859,"1/32"
"GO:0007275","Solyc02g082110.4","multicellular organism development",0.637039742407168,"1/32"
"GO:0043933","Solyc02g082110.4","protein-containing complex subunit organization",0.651888699407734,"1/32"
"GO:0009719","Solyc02g082110.4","response to endogenous stimulus",0.66614840310528,"1/32"
"GO:0009725","Solyc02g082110.4","response to hormone",0.66614840310528,"1/32"
"GO:0048856","Solyc02g082110.4","anatomical structure development",0.692989840181137,"1/32"
"GO:0010033","Solyc02g082110.4","response to organic substance",0.695129749811763,"1/32"
"GO:0022607","Solyc02g082110.4","cellular component assembly",0.707668990106072,"1/32"
"GO:0032501","Solyc02g082110.4","multicellular organismal process",0.711736596775048,"1/32"
"GO:0006952","Solyc02g082110.4","defense response",0.719707965997533,"1/32"
"GO:0032502","Solyc02g082110.4","developmental process",0.736870540978281,"1/32"
"GO:0043603","Solyc02g082110.4","cellular amide metabolic process",0.741256505973142,"2/32"
"GO:0006396","Solyc02g082110.4","RNA processing",0.742361759533007,"1/32"
"GO:1901575","Solyc02g082110.4","organic substance catabolic process",0.745294228703505,"2/32"
"GO:1901565","Solyc02g082110.4","organonitrogen compound catabolic process",0.745960721679541,"1/32"
"GO:0044248","Solyc02g082110.4","cellular catabolic process",0.760933259272895,"2/32"
"GO:0042221","Solyc02g082110.4","response to chemical",0.798764233432227,"1/32"
"GO:0009056","Solyc02g082110.4","catabolic process",0.832395535673784,"2/32"
"GO:0007165","Solyc02g082110.4","signal transduction",0.857050246498609,"1/32"
"GO:0023052","Solyc02g082110.4","signaling",0.859083961686866,"1/32"
"GO:0006464","Solyc02g082110.4","cellular protein modification process",0.865018350536097,"1/32"
"GO:0036211","Solyc02g082110.4","protein modification process",0.865018350536097,"1/32"
"GO:0007154","Solyc02g082110.4","cell communication",0.888858360420835,"1/32"
"GO:0043412","Solyc02g082110.4","macromolecule modification",0.899558708183276,"1/32"
"GO:0051716","Solyc02g082110.4","cellular response to stimulus",0.951360769977083,"1/32"
"GO:0006950","Solyc02g082110.4","response to stress",0.960203515789447,"1/32"
"GO:0009112","Solyc01g059950.1","nucleobase metabolic process",0.012539027338366,"1/5"
"GO:0043094","Solyc01g059950.1","cellular metabolic compound salvage",0.014616579852827,"1/5"
"GO:0046777","Solyc01g059950.1","protein autophosphorylation",0.0156540439717439,"1/5"
"GO:0000160","Solyc01g059950.1","phosphorelay signal transduction system",0.0208282652800296,"1/5"
"GO:0009116","Solyc01g059950.1","nucleoside metabolic process",0.0331576586428507,"1/5"
"GO:1901657","Solyc01g059950.1","glycosyl compound metabolic process",0.0352004266169109,"1/5"
"GO:0046148","Solyc01g059950.1","pigment biosynthetic process",0.0413080224598065,"1/5"
"GO:0042440","Solyc01g059950.1","pigment metabolic process",0.0473846481028661,"1/5"
